raga,tonic,tonic_name,salience,fit_score,primary_score,match_mass,extra_mass,observed_note_score,loglike_norm,raga_size,match_diff,complexity_pen,rank
"Marwa, Puriya, Sohini",10,A#,512,-214.2866931038806,0.0631593754395838,0.6382050921367278,0.3617949078632722,0.2701560080974444,0.0,6,2,0.08333333333333333,116
Nayaki Kanada,2,D,537,-218.54458052404294,0.5418483612322402,0.6349697566465042,0.36503024335349576,0.26878647135813616,0.0,6,2,0.08333333333333333,117
Chandrakauns,2,D,537,-218.70919451477258,0.5418483612322402,0.6445350963567306,0.35546490364326944,0.32740264380052636,0.0,5,3,0.0,118
Hemshri,2,D,537,-220.5775582101935,0.5418483612322402,0.6337037558025037,0.3662962441974963,0.26825056567753736,0.0,6,2,0.08333333333333333,119
"Bihag, Chhayanat, Gaud Sarang, Hameer, Kamod, Maru Bihag, Nand, Shyam Kalyan",2,D,537,-221.66553496211924,0.5418483612322402,0.6066957377971586,0.3933042622028414,0.19261343336857145,0.0,8,0,0.25,120
"Alhaiya Bilawal, Bihagda, Desh, Devgiri Bilawal, Gaud Malhar",2,D,537,-221.88769980446529,0.5418483612322402,0.606555071036714,0.393444928963286,0.1925687745618549,0.0,8,0,0.25,121
Jog,2,D,537,-225.9988320399284,0.5418483612322402,0.6303277535518355,0.36967224644816454,0.266821483862607,0.0,6,2,0.08333333333333333,122
Charukeshi,3,D#,3200,-231.58073213094883,0.33577155718103785,0.5516950344633563,0.4483049655366437,0.2001735313627339,0.0,7,1,0.16666666666666666,123
Shobhawari,2,D,537,-236.33169659298343,0.5418483612322402,0.6337037558025036,0.3662962441974964,0.32190067881304474,0.0,5,3,0.0,124
Hindol,10,A#,512,-237.26919659298363,0.0631593754395838,0.6337037558025035,0.3662962441974965,0.32190067881304474,0.0,5,3,0.0,125
"Bahar, Lanka Dahan Sarang, Miyan ki Malhar, Sindhura",10,A#,512,-244.81951919670954,0.33577155718103785,0.5926290617527079,0.4073709382472921,0.18814755269691436,0.0,8,0,0.25,126
Dhani,2,D,537,-245.48624312711905,0.5418483612322402,0.6280770853847233,0.3719229146152767,0.3190425151831842,0.0,5,3,0.0,127
"Kedar, Shuddha Sarang",2,D,537,-247.53330723270963,0.5418483612322402,0.6044450696300464,0.3955549303699536,0.21931301995555,0.0,7,1,0.16666666666666666,128
Surdasi Malhar,2,D,537,-247.75706703243813,0.5418483612322402,0.604304402869602,0.39569559713039804,0.21926198131930247,0.0,7,1,0.16666666666666666,129
"Gavati, Jhinjoti, Khamaj, Khambhavati",2,D,537,-253.12730222592555,0.5418483612322402,0.6009284006189337,0.3990715993810663,0.21803705404936227,0.0,7,1,0.16666666666666666,130
“Jayat,3,D#,3200,-257.8281088205698,0.33577155718103785,0.5483190322126881,0.4516809677873119,0.23210670477492587,0.0,6,2,0.08333333333333333,131
"Hanskinki, Jaijaiwanti, Ramdasi Malhar, Tilang Bahar, Zila Kafi",2,D,537,-259.0021129827548,0.5418483612322402,0.6473484315656212,0.35265156843437884,0.18268429200858713,0.0,9,1,0.3333333333333333,132
Jogeshwari,2,D,537,-264.8512944863614,0.5418483612322402,0.6061330707553803,0.39386692924461975,0.25657973085560676,0.0,6,2,0.08333333333333333,133
Ahir Bhairav,3,D#,3200,-266.03974128915877,0.33577155718103785,0.5300323533549024,0.4699676466450976,0.19231358138061738,0.0,7,1,0.16666666666666666,134
"Bilawal, Bihari, Hem Bihag, Hemant, Mand, Tilak Kamod",2,D,537,-270.80432640448805,0.5418483612322402,0.5898157265438176,0.41018427345618236,0.214005001785809,0.0,7,1,0.16666666666666666,135
Pilu,2,D,537,-271.42979281227286,0.5418483612322402,0.703615135743424,0.29638486425657595,0.17870668095703118,0.0,10,2,0.4166666666666667,136
Jogeshwari Pancham,3,D#,3200,-273.4238146802039,0.33577155718103785,0.5253903502602336,0.4746096497397664,0.19062930638444955,0.0,7,1,0.16666666666666666,137
Sarang,2,D,537,-275.01618291711384,0.5418483612322402,0.5998030665353776,0.4001969334646224,0.25390020245261247,0.0,6,2,0.08333333333333333,138
Surdasi Malhar,10,A#,512,-276.2170223990606,0.33577155718103785,0.5870023913349276,0.4129976086650724,0.2129842290608588,0.0,7,1,0.16666666666666666,139
"Gorakh Kalyan, Narayani",2,D,537,-276.8232741936921,0.5418483612322402,0.5986777324518215,0.40132226754817846,0.2534238418476357,0.0,6,2,0.08333333333333333,140
Tilang,2,D,537,-282.4704344329992,0.5418483612322402,0.5951610634407088,0.40483893655929115,0.2519352149570833,0.0,6,2,0.08333333333333333,141
Sundarkauns,2,D,537,-284.85079322390186,0.5418483612322402,0.6038824025882681,0.3961175974117319,0.30675241157478383,0.0,5,3,0.0,142
Basant Mukhari,3,D#,3200,-285.50684386555037,0.33577155718103785,0.5177943451962302,0.48220565480376976,0.18787322002708404,0.0,7,1,0.16666666666666666,143
"Bhupali, Deshkar, Pahadi",3,D#,3200,-286.6037597528065,0.33577155718103785,0.5414263609509071,0.4585736390490929,0.27502679528333174,0.0,5,3,0.0,144
"Kedar, Shuddha Sarang",10,A#,512,-292.10396817979387,0.33577155718103785,0.5770150513433676,0.4229849486566324,0.2093604858872856,0.0,7,1,0.16666666666666666,145
Patdeep,10,A#,512,-294.1178063773518,0.33577155718103785,0.575749050499367,0.424250949500633,0.20890113816105801,0.0,7,1,0.16666666666666666,146
"Manj Khamaj, Saraswati Kedar",2,D,537,-296.5592473720633,0.5418483612322402,0.6234350822900551,0.37656491770994494,0.17593585010474974,0.0,9,1,0.3333333333333333,147
"Madhumand Sarang, Megh",2,D,537,-300.6423859952856,0.5418483612322402,0.5941763961175972,0.4058236038824028,0.3018220793132743,0.0,5,3,0.0,148
Abhogi,2,D,537,-300.8712496586393,0.5418483612322402,0.5940357293571525,0.40596427064284746,0.3017506252225278,0.0,5,3,0.0,149
"Bageshri, Bhimpalasi, Desi, Dhanashree, Kafi, Shahana",10,A#,512,-312.9136295545573,0.33577155718103785,0.5639330426220284,0.43606695737797163,0.20461389271626723,0.0,7,1,0.16666666666666666,150
Rageshri,2,D,537,-319.28991919328166,0.5418483612322402,0.5722323814882542,0.42776761851174583,0.24222936763068192,0.0,6,2,0.08333333333333333,151
"Durga, Jaldhar Kedar",2,D,537,-320.55352470703053,0.5418483612322402,0.581938387958925,0.41806161204107495,0.29560557341832766,0.0,5,3,0.0,152
Jog,3,D#,3200,-321.5280763199539,0.33577155718103785,0.5086510057673371,0.4913489942326629,0.21531499344949515,0.0,6,2,0.08333333333333333,153
Rageshri,3,D#,3200,-323.1092811869599,0.29638486425657595,0.5076663384442256,0.4923336615557744,0.21489817792014043,0.0,6,2,0.08333333333333333,154
Prabhateshwari,10,A#,512,-332.3807321309488,0.33577155718103785,0.5516950344633563,0.4483049655366437,0.2001735313627339,0.0,7,1,0.16666666666666666,155
"Gorakh Kalyan, Narayani",10,A#,512,-342.5901737409377,0.33577155718103785,0.5583063722042481,0.44169362779575194,0.23633440514409454,0.0,6,2,0.08333333333333333,156
Kalavati,3,D#,3200,-343.8196755911537,0.33577155718103785,0.5062596708397804,0.4937403291602196,0.25716327259670335,0.0,5,3,0.0,157
Sundarkali,3,D#,3200,-359.8401320258909,0.33577155718103785,0.4964129976086649,0.5035870023913351,0.2521614862444474,0.0,5,3,0.0,158
Bibhas,3,D#,3200,-361.671041332718,0.33577155718103785,0.49528766352510883,0.5047123364748911,0.2515898535184753,0.0,5,3,0.0,159
"Basant, Puriya Dhanashree, Shri”",10,A#,512,-361.91702569512876,0.09706006470670993,0.5331270220846815,0.46687297791531845,0.19343643137806255,0.0,7,1,0.16666666666666666,160
Kaushik Dhwani,2,D,537,-365.6396663876483,0.5418483612322402,0.5542270361513572,0.44577296384864284,0.2815291175412645,0.0,5,3,0.0,161
Jogeshwari,3,D#,3200,-385.0021574097657,0.29638486425657595,0.46912364608243073,0.5308763539175693,0.19858282719968648,0.0,6,2,0.08333333333333333,162
"Durga, Jaldhar Kedar",10,A#,512,-387.4037597528064,0.33577155718103785,0.5414263609509071,0.4585736390490929,0.27502679528333174,0.0,5,3,0.0,163
Hansadhwani,10,A#,512,-395.87171529688175,0.09706006470670993,0.5362216908144604,0.46377830918553964,0.27238299392571075,0.0,5,3,0.0,164
“Deshkar”,3,D#,3200,-399.5801528148618,0.33577155718103785,0.500633000422,0.499366999578,0.3178813862085534,0.0,4,4,0.0,165
Mohankauns,3,D#,3200,-404.6542750425543,0.29638486425657595,0.45688563792375864,0.5431143620762413,0.19340240562056424,0.0,6,2,0.08333333333333333,166
Madhuvanti,2,D,537,-418.2620344256601,0.42242228161485396,0.49711633141088774,0.5028836685891123,0.18037054049870002,0.0,7,1,0.16666666666666666,167
Parameshwari,10,A#,512,-418.71389376679724,0.33577155718103785,0.5109016739344493,0.4890983260655507,0.21626771465944863,0.0,6,2,0.08333333333333333,168
Sundarkali,10,A#,512,-435.00740173031124,0.09706006470670993,0.5121676747784497,0.4878323252215503,0.2601643444080569,0.0,5,3,0.0,169
"Bageshri, Bhimpalasi, Desi, Dhanashree, Kafi, Shahana",3,D#,3200,-444.1525418731545,0.33577155718103785,0.41806161204107495,0.581938387958925,0.15168682692759952,0.0,7,1,0.16666666666666666,170
Sundarkauns,10,A#,512,-444.3908119278001,0.33577155718103785,0.506400337600225,0.49359966239977504,0.25723472668744984,0.0,5,3,0.0,171
Abhogi,10,A#,512,-444.6196755911537,0.33577155718103785,0.5062596708397804,0.4937403291602196,0.25716327259670335,0.0,5,3,0.0,172
Saraswati,3,D#,3200,-451.6386482335894,0.33577155718103785,0.4276269517513013,0.5723730482486987,0.1810170298911685,0.0,6,2,0.08333333333333333,173
Bibhas,10,A#,512,-458.80922271906377,0.09706006470670993,0.49753833169222095,0.502461668307779,0.2527331189704195,0.0,5,3,0.0,174
Madhukauns,2,D,537,-459.0160410358307,0.42242228161485396,0.49683499788999846,0.5031650021100016,0.2523758485166869,0.0,5,3,0.0,175
“Champakali”,2,D,537,-461.8951953727445,0.42242228161485396,0.4696863131242089,0.5303136868757912,0.17041800643043561,0.0,7,1,0.16666666666666666,176
"Adana, Darbari Kanada, Jaunpuri, Kaunsi Kanada",3,D#,3200,-463.6196444495459,0.33577155718103785,0.40582360388240285,0.5941763961175972,0.14724646557406618,0.0,7,1,0.16666666666666666,177
"Gorakh Kalyan, Narayani",3,D#,3200,-470.61310663766113,0.33577155718103785,0.4158109438739627,0.5841890561260372,0.17601524353891254,0.0,6,2,0.08333333333333333,178
“Megh Malhar”,10,A#,512,-475.2044607094108,0.33577155718103785,0.4467576311717545,0.5532423688282455,0.14183637013183015,0.0,8,0,0.25,179
"“Shuddha Kalyan, Yaman",2,D,537,-479.5722195513068,0.42242228161485396,0.4585736390490929,0.5414263609509071,0.16638595416688234,0.0,7,1,0.16666666666666666,180
Saraswati,2,D,537,-487.57529432463315,0.42242228161485396,0.4674356449570966,0.5325643550429033,0.1978682862922213,0.0,6,2,0.08333333333333333,181
Nayaki Kanada,3,D#,3200,-493.8794068236065,0.33577155718103785,0.4013222675481785,0.5986777324518215,0.16988210074983678,0.0,6,2,0.08333333333333333,182
Shivranjani,2,D,537,-495.17649984566606,0.42242228161485396,0.4746096497397664,0.5253903502602336,0.2410861021787377,0.0,5,3,0.0,183
Prabhateshwari,3,D#,3200,-498.078653607756,0.33577155718103785,0.3841609227739488,0.6158390772260511,0.13938651559194967,0.0,7,1,0.16666666666666666,184
“Hari Kauns”,2,D,537,-498.38059113261363,0.4106062737375154,0.47264031509354326,0.5273596849064568,0.24008574490828655,0.0,5,3,0.0,185
Devshri,3,D#,3200,-498.98923934475096,0.33577155718103785,0.41088760725840484,0.5891123927415951,0.208717399070567,0.0,5,3,0.0,186
"Durga, Jaldhar Kedar",3,D#,3200,-500.1335576615181,0.33577155718103785,0.4101842734561823,0.5898157265438178,0.20836012861683445,0.0,5,3,0.0,187
Devshri,2,D,537,-514.1721839039972,0.42242228161485396,0.46293430862287227,0.5370656913771277,0.23515541264677706,0.0,5,3,0.0,188
"Bhairavi, Bilaskhani Todi, Asavari (komal re)",3,D#,3200,-517.5457561841475,0.33577155718103785,0.3719229146152767,0.6280770853847233,0.13494615423841633,0.0,7,1,0.16666666666666666,189
"Madhumand Sarang, Megh",3,D#,3200,-518.2137870664357,0.33577155718103785,0.3990715993810663,0.6009284006189337,0.20271525544785982,0.0,5,3,0.0,190
Shobhawari,3,D#,3200,-520.0446963732628,0.33577155718103785,0.3979462652975102,0.6020537347024898,0.20214362272188774,0.0,5,3,0.0,191
Shivranjani,3,D#,3200,-523.9353786502704,0.33577155718103785,0.3955549303699536,0.6044450696300464,0.20092890317919704,0.0,5,3,0.0,192
Kirwani,10,A#,512,-526.1567186959487,0.33577155718103785,0.42987761991841356,0.5701223800815864,0.15597407237239033,0.0,7,1,0.16666666666666666,193
Shankara,2,D,537,-528.9125072763609,0.42242228161485396,0.44169362779575194,0.5583063722042481,0.18697153745337794,0.0,6,2,0.08333333333333333,194
Sarang,10,A#,512,-534.3677354678067,0.33577155718103785,0.4388802925868618,0.5611197074131382,0.18578063594093608,0.0,6,2,0.08333333333333333,195
Kalavati,2,D,537,-541.8646871697573,0.42242228161485396,0.445913630609087,0.554086369390913,0.2265094676664489,0.0,5,3,0.0,196
"Adana, Darbari Kanada, Jaunpuri, Kaunsi Kanada",10,A#,512,-544.9525418731545,0.33577155718103785,0.41806161204107495,0.581938387958925,0.15168682692759952,0.0,7,1,0.16666666666666666,197
Salagavarali,3,D#,3200,-548.543917940099,0.33577155718103785,0.3672809115206079,0.6327190884793921,0.15547219244928986,0.0,6,2,0.08333333333333333,198
Gopika Basant,3,D#,3200,-552.1581004932558,0.33577155718103785,0.36503024335349576,0.6349697566465042,0.15451947123933632,0.0,6,2,0.08333333333333333,199
Hemshri,10,A#,512,-552.212761824017,0.33577155718103785,0.42776761851174583,0.5722323814882542,0.1810765749667906,0.0,6,2,0.08333333333333333,200
Hansadhwani,2,D,537,-556.0542342976674,0.42242228161485396,0.4371922914615276,0.5628077085384724,0.22207931404016504,0.0,5,3,0.0,201
"Bhupali, Deshkar, Pahadi",2,D,537,-557.8851436044945,0.42242228161485396,0.4360669573779715,0.5639330426220285,0.2215076813141929,0.0,5,3,0.0,202
Madhukauns,3,D#,3200,-561.6978831035793,0.33577155718103785,0.37234491489661,0.62765508510339,0.18913897820602227,0.0,5,3,0.0,203
"Bhairavi, Bilaskhani Todi, Asavari (komal re)",10,A#,512,-564.4196444495459,0.33577155718103785,0.40582360388240285,0.5941763961175972,0.14724646557406618,0.0,7,1,0.16666666666666666,204
Nayaki Kanada,10,A#,512,-571.4131066376611,0.33577155718103785,0.4158109438739627,0.5841890561260372,0.17601524353891254,0.0,6,2,0.08333333333333333,205
Bairagi,3,D#,3200,-573.3699299346024,0.33577155718103785,0.36517091011394015,0.6348290898860598,0.18549481957795005,0.0,5,3,0.0,206
"Gunakri, Gunkali",3,D#,3200,-575.2008392414295,0.33577155718103785,0.36404557603038407,0.635954423969616,0.18492318685197792,0.0,5,3,0.0,207
Jogiya,10,A#,512,-577.5120396961128,0.33577155718103785,0.4120129413419611,0.5879870586580389,0.174407526497116,0.0,6,2,0.08333333333333333,208
Hindol,2,D,537,-579.1694642963596,0.4106062737375154,0.4229849486566324,0.5770150513433676,0.21486245087476719,0.0,5,3,0.0,209
Dhani,3,D#,3200,-580.9224308252642,0.33577155718103785,0.3605289070192714,0.6394710929807286,0.1831368345833151,0.0,5,3,0.0,210
Abhogi,3,D#,3200,-588.0172043892192,0.29638486425657595,0.3561682374454917,0.6438317625545082,0.18092175777017316,0.0,5,3,0.0,211
Gopika Basant,10,A#,512,-594.6794068236064,0.33577155718103785,0.4013222675481785,0.5986777324518215,0.16988210074983678,0.0,6,2,0.08333333333333333,212
Bairagi Todi,3,D#,3200,-597.1717509233548,0.33577155718103785,0.35054156702771144,0.6494584329722886,0.17806359414031264,0.0,5,3,0.0,213
Bhupali Todi,3,D#,3200,-599.0026602301818,0.33577155718103785,0.34941623294415536,0.6505837670558446,0.1774919614143405,0.0,5,3,0.0,214
"Madhumand Sarang, Megh",10,A#,512,-600.9335576615181,0.33577155718103785,0.4101842734561823,0.5898157265438178,0.20836012861683445,0.0,5,3,0.0,215
Parameshwari,3,D#,3200,-611.7921126203386,0.29638486425657595,0.327894218596146,0.672105781403854,0.1387995712751033,0.0,6,2,0.08333333333333333,216
“Deshkar”,2,D,537,-617.9740611795849,0.42242228161485396,0.4291742861161906,0.5708257138838094,0.2725080385845171,0.0,4,4,0.0,217
Dhani,10,A#,512,-619.0137870664356,0.33577155718103785,0.3990715993810663,0.6009284006189337,0.20271525544785987,0.0,5,3,0.0,218
Bairagi,10,A#,512,-620.8446963732627,0.33577155718103785,0.39794626529751026,0.6020537347024897,0.20214362272188774,0.0,5,3,0.0,219
Shobhawari,10,A#,512,-624.7353786502704,0.33577155718103785,0.3955549303699536,0.6044450696300464,0.20092890317919698,0.0,5,3,0.0,220
“Hari Kauns”,3,D#,3200,-626.0085725058816,0.30820087213391456,0.3328175552117036,0.6671824447882964,0.1690603787062519,0.0,5,3,0.0,221
"Gunakri, Gunkali",10,A#,512,-644.6465173620152,0.33577155718103785,0.38331692221128155,0.6166830777887184,0.19471239728425033,0.0,5,3,0.0,222
Sundarkauns,3,D#,3200,-645.2331202275664,0.29638486425657595,0.32100154733436503,0.678998452665635,0.16305823508354472,0.0,5,3,0.0,223
Chandrakauns,10,A#,512,-662.4978831035794,0.33577155718103785,0.37234491489661004,0.62765508510339,0.18913897820602227,0.0,5,3,0.0,224
Malkauns,3,D#,3200,-665.1442589393113,0.29638486425657595,0.30876353917569294,0.6912364608243071,0.156841729188598,0.0,5,3,0.0,225
Malkauns,10,A#,512,-681.7224308252642,0.33577155718103785,0.3605289070192714,0.6394710929807286,0.1831368345833151,0.0,5,3,0.0,226
Madhuvanti,10,A#,512,-727.7642982514512,0.09706006470670993,0.303136868757913,0.696863131242087,0.10998826111338401,0.0,7,1,0.16666666666666666,227
Saraswati,10,A#,512,-780.3580354920238,0.09706006470670993,0.285694190462794,0.714305809537206,0.12093604858847486,0.0,6,2,0.08333333333333333,228
Salagavarali,10,A#,512,-802.043130810963,0.09706006470670993,0.2721901814601213,0.7278098185398787,0.11521972132875374,0.0,6,2,0.08333333333333333,229
Shivranjani,10,A#,512,-833.0013123018539,0.09706006470670993,0.26754817836545247,0.7324518216345475,0.1359056805998695,0.0,5,3,0.0,230
“Hari Kauns”,10,A#,512,-887.9285915066671,0.0631593754395838,0.23378815585877083,0.7662118441412291,0.11875669882070619,0.0,5,3,0.0,231
"Multani, Todi",10,A#,512,-979.2703131464399,0.09706006470670993,0.14502743001828744,0.8549725699817126,0.05262083397118298,0.0,7,1,0.16666666666666666,232
Bhupali Todi,10,A#,512,-1000.0,0.09706006470670993,0.10943873962582695,0.890561260374173,0.05559128260078805,0.0,5,3,0.0,233
Bairagi Todi,10,A#,512,-1000.0,0.09706006470670993,0.12406808271205565,0.8759319172879444,0.06302250803842549,0.0,5,3,0.0,234
Devshri,10,A#,512,-1000.0,0.09706006470670993,0.13757209171472828,0.8624279082852717,0.0698821007500908,0.0,5,3,0.0,235
Madhukauns,10,A#,512,-1000.0,0.09706006470670993,0.12645941763961227,0.8735405823603877,0.06423722758111622,0.0,5,3,0.0,236
“Gurjari Todi,10,A#,512,-1000.0,0.0631593754395838,0.10423406948938034,0.8957659305106197,0.0441229010359726,0.0,6,2,0.08333333333333333,237
